"","ensembl_gene_id","description","external_gene_name","chromosome_name","gene_biotype","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000026034","ENSMUSG00000026034","CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]","Clk1","1","protein_coding",-0.250092199185278,6.43272841732429,-6.76105892071707,3.3958375302805e-09,4.63840535386041e-06,10.7581327835437
"ENSMUSG00000056592","ENSMUSG00000056592","zinc finger protein 658 [Source:MGI Symbol;Acc:MGI:2652821]","Zfp658","7","protein_coding",-0.241789237201687,2.95251156092028,-6.57869541638206,7.25615407056234e-09,8.75023423826125e-06,10.0326494861349
"ENSMUSG00000037868","ENSMUSG00000037868","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]","Egr2","10","protein_coding",-1.69164831701451,-2.81596238664226,-6.56846877807164,7.57091814292154e-09,8.75023423826125e-06,5.13655777496578
"ENSMUSG00000061894","ENSMUSG00000061894","zinc finger and SCAN domains 20 [Source:MGI Symbol;Acc:MGI:2679268]","Zscan20","4","protein_coding",-0.251656888862306,3.01026788750287,-6.43565601773208,1.31257816269167e-08,1.40867763531731e-05,9.49366907566944
"ENSMUSG00000090698","ENSMUSG00000090698","apolipoprotein L domain containing 1 [Source:MGI Symbol;Acc:MGI:2685921]","Apold1","6","protein_coding",-0.547201768894474,1.78210448763392,-6.32792949076827,2.04735578177024e-08,1.94280588755513e-05,8.85179378971445
"ENSMUSG00000046962","ENSMUSG00000046962","zinc finger and BTB domain containing 21 [Source:MGI Symbol;Acc:MGI:1927240]","Zbtb21","16","protein_coding",-0.130613879113334,4.54747519677755,-6.29014593263569,2.39185326970562e-08,2.11397619866629e-05,8.93250997916014
"ENSMUSG00000020482","ENSMUSG00000020482","coiled-coil domain containing 117 [Source:MGI Symbol;Acc:MGI:2144383]","Ccdc117","11","protein_coding",-0.164306873667939,4.09591581140302,-6.19186405436715,3.58072991779438e-08,2.98891483415892e-05,8.56354916759807
"ENSMUSG00000024136","ENSMUSG00000024136","deoxyribonuclease 1-like 2 [Source:MGI Symbol;Acc:MGI:1913955]","Dnase1l2","17","protein_coding",-0.439421331295865,2.56724918059339,-6.11118131900186,4.98102846084283e-08,3.93894487495598e-05,8.19733733591445
"ENSMUSG00000034936","ENSMUSG00000034936","ADP-ribosylation factor-like 4D [Source:MGI Symbol;Acc:MGI:1933155]","Arl4d","11","protein_coding",-0.468666947595462,3.46074126798457,-5.9637112226246,9.20941805729556e-08,6.65731387167734e-05,7.67838161356628
"ENSMUSG00000067931","ENSMUSG00000067931","zinc finger protein 948 [Source:MGI Symbol;Acc:MGI:3040683]","Zfp948","17","protein_coding",-0.185663433922497,3.33986404894397,-5.95766429761009,9.30473153445751e-08,6.65731387167734e-05,7.6758636072562
"ENSMUSG00000044595","ENSMUSG00000044595","DND microRNA-mediated repression inhibitor 1 [Source:MGI Symbol;Acc:MGI:2447763]","Dnd1","18","protein_coding",-0.429075404224297,0.737970154734383,-5.82614145015803,1.58369284455515e-07,0.000104286253399563,6.42445009326436
"ENSMUSG00000002325","ENSMUSG00000002325","interferon regulatory factor 9 [Source:MGI Symbol;Acc:MGI:107587]","Irf9","14","protein_coding",-0.255577363928862,3.66046434811129,-5.82415924334428,1.59639522674872e-07,0.000104286253399563,7.15780619333392
"ENSMUSG00000023067","ENSMUSG00000023067","cyclin-dependent kinase inhibitor 1A (P21) [Source:MGI Symbol;Acc:MGI:104556]","Cdkn1a","17","protein_coding",-0.532046171098593,3.46177124840576,-5.80648764608749,1.73946809809921e-07,0.000108897950724752,7.05431547801981
"ENSMUSG00000048546","ENSMUSG00000048546","transducer of ERBB2, 2 [Source:MGI Symbol;Acc:MGI:1888525]","Tob2","15","protein_coding",-0.244865258014396,4.81638750170159,-5.78296780363523,1.88433520521307e-07,0.000113248545833305,6.9203745892735
"ENSMUSG00000038612","ENSMUSG00000038612","myeloid cell leukemia sequence 1 [Source:MGI Symbol;Acc:MGI:101769]","Mcl1","3","protein_coding",-0.1124662621018,6.12820399634732,-5.72866183902166,2.34351494044292e-07,0.000135428123000595,6.64345496957359
"ENSMUSG00000021327","ENSMUSG00000021327","zinc finger with KRAB and SCAN domains 3 [Source:MGI Symbol;Acc:MGI:1919989]","Zkscan3","13","protein_coding",-0.211966869802543,5.52550994855472,-5.70377878800089,2.5892356046182e-07,0.000144086166516254,6.56282550186518
"ENSMUSG00000074733","ENSMUSG00000074733","zinc finger protein 950 [Source:MGI Symbol;Acc:MGI:2652824]","Zfp950","19","protein_coding",-0.250680755636323,5.25332126998033,-5.6929270608836,2.70419700592838e-07,0.000145109142907407,6.54029359147028
"ENSMUSG00000038550","ENSMUSG00000038550","circadian associated repressor of transcription [Source:MGI Symbol;Acc:MGI:2684975]","Ciart","3","protein_coding",-0.306365413337417,3.33959889810028,-5.67868904857684,2.86269653517259e-07,0.000148317294624028,6.59885787345996
"ENSMUSG00000024843","ENSMUSG00000024843","choline kinase alpha [Source:MGI Symbol;Acc:MGI:107760]","Chka","19","protein_coding",-0.196792732415088,6.19554722100311,-5.64625578915692,3.25875041714222e-07,0.000163209083391873,6.32338350927123
"ENSMUSG00000073468","ENSMUSG00000073468","SFT2 domain containing 1 [Source:MGI Symbol;Acc:MGI:1918689]","Sft2d1","17","protein_coding",-0.145620693298311,4.26181523631015,-5.63705376692199,3.38064047979991e-07,0.000163852010351592,6.39421995830386
"ENSMUSG00000024190","ENSMUSG00000024190","dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]","Dusp1","17","protein_coding",-0.520243761338114,4.14681051225894,-5.61555287906998,3.73233664857981e-07,0.000172973901997574,6.2751503476163
"ENSMUSG00000037617","ENSMUSG00000037617","sperm associated antigen 1 [Source:MGI Symbol;Acc:MGI:1349387]","Spag1","15","protein_coding",-0.211658307107398,3.86820163495392,-5.60777823973208,3.799094020579e-07,0.000172973901997574,6.32230660125598
"ENSMUSG00000048489","ENSMUSG00000048489","DEPP1 autophagy regulator [Source:MGI Symbol;Acc:MGI:1918730]","Depp1","6","protein_coding",-1.00278564434666,-0.729394222671676,-5.58248259175421,4.20147618355122e-07,0.000185668175464286,4.487166624381
"ENSMUSG00000025981","ENSMUSG00000025981","coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]","Coq10b","1","protein_coding",-0.167233004634584,3.36504206118414,-5.55197897161349,4.74284166803064e-07,0.000203603417320458,6.11890858593738
"ENSMUSG00000031986","ENSMUSG00000031986","SprT-like N-terminal domain [Source:MGI Symbol;Acc:MGI:2685351]","Sprtn","8","protein_coding",-0.138201207860821,4.34621824324503,-5.48668459562162,6.1430509079632e-07,0.000256387055255964,5.82211160440792
"ENSMUSG00000072919","ENSMUSG00000072919","NADP+ dependent oxidoreductase domain containing 1 [Source:MGI Symbol;Acc:MGI:1918525]","Noxred1","12","protein_coding",-0.571415744782522,0.553984785195526,-5.47758339291646,6.36806851712559e-07,0.000258595214783276,5.15490648439186
"ENSMUSG00000022602","ENSMUSG00000022602","activity regulated cytoskeletal-associated protein [Source:MGI Symbol;Acc:MGI:88067]","Arc","15","protein_coding",-0.910802189683142,7.10946824000398,-5.47093284930761,6.61807539285239e-07,0.000261675217835808,5.65254673924563
"ENSMUSG00000042608","ENSMUSG00000042608","serine/threonine kinase 40 [Source:MGI Symbol;Acc:MGI:1921428]","Stk40","4","protein_coding",-0.168056005276073,5.24202389286104,-5.40645960896795,8.429316023514e-07,0.000324744803213584,5.42939863493612
"ENSMUSG00000032501","ENSMUSG00000032501","tribbles pseudokinase 1 [Source:MGI Symbol;Acc:MGI:2443397]","Trib1","15","protein_coding",-0.410820679213698,3.94305382398892,-5.39585281588759,8.89199668610349e-07,0.000334005625521762,5.4645971801935
"ENSMUSG00000034738","ENSMUSG00000034738","nitric oxide synthase trafficker [Source:MGI Symbol;Acc:MGI:3606242]","Nostrin","2","protein_coding",-0.432042096652568,1.70261495666233,-5.3832771845223,9.23350100034668e-07,0.000338374030561485,5.3714123080066
"ENSMUSG00000090019","ENSMUSG00000090019","GTPase, IMAP family member 1 [Source:MGI Symbol;Acc:MGI:109368]","Gimap1","6","protein_coding",-0.40846769879962,0.259093216699596,-5.3633489363383,9.98474299958885e-07,0.000357192294211482,4.73655268037978
"ENSMUSG00000028211","ENSMUSG00000028211","transformation related protein 53 inducible nuclear protein 1 [Source:MGI Symbol;Acc:MGI:1926609]","Trp53inp1","4","protein_coding",-0.340576044695723,3.64189238927599,-5.31450884869836,1.21115379093018e-06,0.000423199667644791,5.24073819119166
"ENSMUSG00000040565","ENSMUSG00000040565","B-TFIID TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:2147538]","Btaf1","19","protein_coding",-0.394954016132672,5.6956336003149,-5.2546153291739,1.54373518705932e-06,0.000527150481490142,4.83620062480916
"ENSMUSG00000003382","ENSMUSG00000003382","ets variant 3 [Source:MGI Symbol;Acc:MGI:1350926]","Etv3","3","protein_coding",-0.10568819414632,5.11215957389658,-5.22759008865424,1.69640261155958e-06,0.000566409983081837,4.77444553024534
"ENSMUSG00000018844","ENSMUSG00000018844","fibronectin type III domain containing 8 [Source:MGI Symbol;Acc:MGI:1926169]","Fndc8","11","protein_coding",-0.305270511956579,1.77204357034493,-5.20625815058904,1.84288793346635e-06,0.000598833482176874,4.73482322716127
"ENSMUSG00000035299","ENSMUSG00000035299","midline 1 [Source:MGI Symbol;Acc:MGI:1100537]","Mid1","X","protein_coding",-0.343897545457034,2.23729433507992,-5.20204921753513,1.8732228726997e-06,0.000598833482176874,4.80898332216465
"ENSMUSG00000052837","ENSMUSG00000052837","jun B proto-oncogene [Source:MGI Symbol;Acc:MGI:96647]","Junb","8","protein_coding",-0.562930864446037,5.80325952832208,-5.17669420319303,2.08803703149158e-06,0.000640260334656348,4.53835445878925
"ENSMUSG00000040761","ENSMUSG00000040761","spen family transcription repressor [Source:MGI Symbol;Acc:MGI:1891706]","Spen","4","protein_coding",-0.119852721441711,7.17517869653287,-5.14231459687236,2.36038692307833e-06,0.000709296270385039,4.41679635767379
"ENSMUSG00000023852","ENSMUSG00000023852","chromodomain helicase DNA binding protein 1 [Source:MGI Symbol;Acc:MGI:88393]","Chd1","17","protein_coding",-0.113856548816327,4.87159594730849,-5.11155637700051,2.65767465754822e-06,0.000782971798620824,4.3669313277514
"ENSMUSG00000029290","ENSMUSG00000029290","zinc finger protein 326 [Source:MGI Symbol;Acc:MGI:1927246]","Zfp326","5","protein_coding",-0.144137757697995,4.77116672120365,-5.08555218332609,2.93739844705163e-06,0.000848738685902899,4.26887710841007
"ENSMUSG00000056962","ENSMUSG00000056962","jumonji domain containing 6 [Source:MGI Symbol;Acc:MGI:1858910]","Jmjd6","11","protein_coding",-0.119140698756663,4.56694603610312,-5.05364398499716,3.320251948402e-06,0.000941260104240377,4.18337281874983
"ENSMUSG00000025199","ENSMUSG00000025199","conserved helix-loop-helix ubiquitous kinase [Source:MGI Symbol;Acc:MGI:99484]","Chuk","19","protein_coding",-0.172296772657893,5.18671818842506,-5.04383065288358,3.44753142858321e-06,0.000943576802696542,4.08269672624039
"ENSMUSG00000058392","ENSMUSG00000058392","ribosomal RNA processing 1 homolog B (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1919712]","Rrp1b","17","protein_coding",-0.265615538178317,3.91497011439988,-5.03999286291573,3.49859685660027e-06,0.000943576802696542,4.20825409833377
"ENSMUSG00000024793","ENSMUSG00000024793","tumor necrosis factor receptor superfamily, member 25 [Source:MGI Symbol;Acc:MGI:1934667]","Tnfrsf25","4","protein_coding",-0.627574484146332,4.72931845511478,-5.04111589405387,3.51682535447629e-06,0.000943576802696542,4.20089391628697
"ENSMUSG00000026283","ENSMUSG00000026283","inhibitor of growth family, member 5 [Source:MGI Symbol;Acc:MGI:1922816]","Ing5","1","protein_coding",-0.141215492745353,3.87682669482557,-5.01911944736133,3.7895764990944e-06,0.000998919068401639,4.13017792916148
"ENSMUSG00000053470","ENSMUSG00000053470","lysine (K)-specific demethylase 3A [Source:MGI Symbol;Acc:MGI:98847]","Kdm3a","6","protein_coding",-0.145651881424963,5.22895460915829,-4.99676923632934,4.12740898597153e-06,0.00106818846637936,3.90660608260663
"ENSMUSG00000040943","ENSMUSG00000040943","tet methylcytosine dioxygenase 2 [Source:MGI Symbol;Acc:MGI:2443298]","Tet2","3","protein_coding",-0.153066178449398,5.77094026508338,-4.99254137976684,4.19455038378583e-06,0.00106818846637936,3.86227274498719
"ENSMUSG00000030002","ENSMUSG00000030002","dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:MGI Symbol;Acc:MGI:1919352]","Dusp11","6","protein_coding",-0.160834049595428,6.07464129752792,-4.98318913320082,4.34689021712505e-06,0.0010795981888027,3.82246179729418
"ENSMUSG00000070427","ENSMUSG00000070427","interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]","Il18bp","7","protein_coding",-0.271229345616954,2.70252300294848,-4.98101573114916,4.38306086635374e-06,0.0010795981888027,4.06502271002825
"ENSMUSG00000031832","ENSMUSG00000031832","TATA-box binding protein associated factor, RNA polymerase I, C [Source:MGI Symbol;Acc:MGI:109576]","Taf1c","8","protein_coding",-0.161422273706724,3.838275595813,-4.97649534961763,4.45923660406039e-06,0.00108064564477431,3.98698640860824
"ENSMUSG00000030087","ENSMUSG00000030087","Kruppel-like factor 15 [Source:MGI Symbol;Acc:MGI:1929988]","Klf15","6","protein_coding",-0.259409646532211,4.6256890147003,-4.95122492808284,4.92367356839142e-06,0.001174257069287,3.79020651492628
"ENSMUSG00000032413","ENSMUSG00000032413","RAS p21 protein activator 2 [Source:MGI Symbol;Acc:MGI:2149960]","Rasa2","9","protein_coding",-0.148885193016707,4.8476914333415,-4.93933452604313,5.13653275116681e-06,0.00120588132166065,3.72698591437508
"ENSMUSG00000079470","ENSMUSG00000079470","UTP14B small subunit processome component [Source:MGI Symbol;Acc:MGI:2445092]","Utp14b","1","protein_coding",-0.310780860339605,3.88759510906462,-4.92007102958742,5.5383680590121e-06,0.00128021507825626,3.78481644095376
"ENSMUSG00000078552","ENSMUSG00000078552","doublecortin domain containing 2b [Source:MGI Symbol;Acc:MGI:2686212]","Dcdc2b","4","protein_coding",-0.256238067623073,2.94320485305583,-4.89695950757977,6.03201120446813e-06,0.00137319649010809,3.76729376011918
"ENSMUSG00000020994","ENSMUSG00000020994","pinin [Source:MGI Symbol;Acc:MGI:1100514]","Pnn","12","protein_coding",-0.116844696688042,6.85534746864599,-4.86140556331072,6.89960400548132e-06,0.00150013861636458,3.37817704706122
"ENSMUSG00000029817","ENSMUSG00000029817","transformer 2 alpha [Source:MGI Symbol;Acc:MGI:1933972]","Tra2a","6","protein_coding",-0.167830393653817,6.26602225846728,-4.85375985651322,7.10151533122055e-06,0.00150013861636458,3.34783537661151
"ENSMUSG00000028128","ENSMUSG00000028128","coagulation factor III [Source:MGI Symbol;Acc:MGI:88381]","F3","3","protein_coding",-0.254271316393671,5.06753909407898,-4.85151763047219,7.18868421818633e-06,0.00150013861636458,3.387658405278
"ENSMUSG00000028521","ENSMUSG00000028521","solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1 [Source:MGI Symbol;Acc:MGI:2140361]","Slc35d1","4","protein_coding",-0.140081593404131,3.76435971558387,-4.83527633116101,7.61377323599219e-06,0.0015670814091888,3.4919582066809
"ENSMUSG00000003545","ENSMUSG00000003545","FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]","Fosb","7","protein_coding",-0.425247748939967,3.25476033615807,-4.82109616990755,8.09762109265707e-06,0.00164414536374557,3.43742257406748
"ENSMUSG00000023150","ENSMUSG00000023150","influenza virus NS1A binding protein [Source:MGI Symbol;Acc:MGI:2152389]","Ivns1abp","1","protein_coding",-0.141463825549151,6.77384714116539,-4.80657727175822,8.48141854820288e-06,0.00167675412745721,3.18161295974721
"ENSMUSG00000004896","ENSMUSG00000004896","ribosomal RNA adenine dimethylase domain containing 1 [Source:MGI Symbol;Acc:MGI:2387197]","Rrnad1","3","protein_coding",-0.160724977604627,4.90558309668523,-4.79618528993873,8.81880869839806e-06,0.00172081299601858,3.21185801565393
"ENSMUSG00000021738","ENSMUSG00000021738","ataxin 7 [Source:MGI Symbol;Acc:MGI:2179277]","Atxn7","14","protein_coding",-0.146114193438426,5.24524290341968,-4.77515508513238,9.54213115518259e-06,0.00183808359752075,3.10879033945776
"ENSMUSG00000036052","ENSMUSG00000036052","DnaJ heat shock protein family (Hsp40) member B5 [Source:MGI Symbol;Acc:MGI:1930018]","Dnajb5","4","protein_coding",-0.209468121006866,7.67585144551269,-4.76040961352049,1.00924051487333e-05,0.00191947325771794,3.03474922597905
"ENSMUSG00000001128","ENSMUSG00000001128","complement factor properdin [Source:MGI Symbol;Acc:MGI:97545]","Cfp","X","protein_coding",-0.272027175502923,3.85404929749342,-4.75644273873414,1.0237418516025e-05,0.00192271516504094,3.18924777538436
"ENSMUSG00000047867","ENSMUSG00000047867","GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]","Gimap6","6","protein_coding",-0.268844613969742,1.74959442958462,-4.75114021887014,1.04390044892649e-05,0.00193637089445932,3.20940120350501
"ENSMUSG00000045534","ENSMUSG00000045534","potassium voltage-gated channel, shaker-related subfamily, member 5 [Source:MGI Symbol;Acc:MGI:96662]","Kcna5","6","protein_coding",-0.745085452281949,0.749445344984004,-4.74343112130829,1.07969772189774e-05,0.00197834856969677,3.01485903792889
"ENSMUSG00000037134","ENSMUSG00000037134","protein arginine methyltransferase 9 [Source:MGI Symbol;Acc:MGI:2142651]","Prmt9","8","protein_coding",-0.114166316215516,4.10425491094829,-4.7274963364617,1.14021146141406e-05,0.00206405749490919,3.05031072562273
"ENSMUSG00000026941","ENSMUSG00000026941","MAM domain containing 4 [Source:MGI Symbol;Acc:MGI:2685841]","Mamdc4","2","protein_coding",-0.309533134482601,1.78470740207018,-4.72219913065228,1.16294847277062e-05,0.00207782133884112,3.11036307186785
"ENSMUSG00000053286","ENSMUSG00000053286","tRNA methyltransferase 1 like [Source:MGI Symbol;Acc:MGI:1916185]","Trmt1l","1","protein_coding",-0.0990155435613724,4.80013454239742,-4.71932417012783,1.17547297039265e-05,0.00207782133884112,2.95225716098019
"ENSMUSG00000022974","ENSMUSG00000022974","PAX3 and PAX7 binding protein 1 [Source:MGI Symbol;Acc:MGI:1914617]","Paxbp1","16","protein_coding",-0.16057655420305,5.57142753029107,-4.71013153963136,1.21640845235305e-05,0.00209413826565944,2.8538188601335
"ENSMUSG00000010067","ENSMUSG00000010067","Ras association (RalGDS/AF-6) domain family member 1 [Source:MGI Symbol;Acc:MGI:1928386]","Rassf1","9","protein_coding",-0.176046496810556,2.48331200260459,-4.70963050116556,1.21867909919531e-05,0.00209413826565944,3.12322891187443
"ENSMUSG00000054400","ENSMUSG00000054400","chemokine-like factor [Source:MGI Symbol;Acc:MGI:1922708]","Cklf","8","protein_coding",-0.263810973460177,1.82340564615235,-4.70561104889261,1.23704488397114e-05,0.00209413826565944,3.07872095169953
"ENSMUSG00000014747","ENSMUSG00000014747","ankyrin repeat domain 53 [Source:MGI Symbol;Acc:MGI:1922555]","Ankrd53","6","protein_coding",-0.39441609004763,0.753534296508987,-4.69986390971295,1.26377418041057e-05,0.00210980078451876,2.78483323434112
"ENSMUSG00000072572","ENSMUSG00000072572","solute carrier family 39 (zinc transporter), member 2 [Source:MGI Symbol;Acc:MGI:2684326]","Slc39a2","14","protein_coding",-0.338646947328504,3.557083703144,-4.68322815995964,1.3487405521859e-05,0.00219259670624192,2.97171581772061
"ENSMUSG00000035021","ENSMUSG00000035021","bromodomain adjacent to zinc finger domain 1A [Source:MGI Symbol;Acc:MGI:1309478]","Baz1a","12","protein_coding",-0.290094617254778,1.39563876935235,-4.68067718903992,1.35714804446255e-05,0.00219259670624192,2.97564344495163
"ENSMUSG00000019734","ENSMUSG00000019734","transmembrane channel-like gene family 4 [Source:MGI Symbol;Acc:MGI:2669035]","Tmc4","7","protein_coding",-0.329617167104253,2.19299865794722,-4.67150424350251,1.40413111357017e-05,0.00224436914695658,2.99183338783748
"ENSMUSG00000023034","ENSMUSG00000023034","nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]","Nr4a1","15","protein_coding",-0.685846435639651,6.17985436308079,-4.66119180759907,1.4697010892675e-05,0.00232444830170991,2.65971844304307
"ENSMUSG00000023968","ENSMUSG00000023968","cysteine-rich protein 3 [Source:MGI Symbol;Acc:MGI:2152434]","Crip3","17","protein_coding",-0.394860723679866,0.981858422430465,-4.62441879558668,1.6713602876034e-05,0.00254807303614128,2.66857980148535
"ENSMUSG00000030880","ENSMUSG00000030880","polymerase (RNA) III (DNA directed) polypeptide E [Source:MGI Symbol;Acc:MGI:1349452]","Polr3e","7","protein_coding",-0.127525147297588,5.31953801301344,-4.62341081441675,1.6775906963886e-05,0.00254807303614128,2.55809659365036
"ENSMUSG00000022807","ENSMUSG00000022807","oxysterol binding protein-like 11 [Source:MGI Symbol;Acc:MGI:2146553]","Osbpl11","16","protein_coding",-0.130709381851028,4.72354469034479,-4.62319461426122,1.6789299872079e-05,0.00254807303614128,2.63644758840308
"ENSMUSG00000089832","ENSMUSG00000089832","Sh3kbp1 binding protein 1 [Source:MGI Symbol;Acc:MGI:2385803]","Shkbp1","7","protein_coding",-0.239048537476421,3.91689815859353,-4.6030353385721,1.80848984940576e-05,0.00271725599873216,2.64229054377786
"ENSMUSG00000027854","ENSMUSG00000027854","suppressor of IKBKE 1 [Source:MGI Symbol;Acc:MGI:1913891]","Sike1","3","protein_coding",-0.0888869008223194,5.65369497169683,-4.5910256812509,1.89024370229861e-05,0.00278440310068987,2.42605204207536
"ENSMUSG00000096370","ENSMUSG00000096370","predicted gene 21992 [Source:MGI Symbol;Acc:MGI:5439461]","Gm21992","19","protein_coding",-0.39731131897639,-0.405192364823448,-4.57792678861951,1.98351132117792e-05,0.00289342306802896,1.89495854334139
"ENSMUSG00000072647","ENSMUSG00000072647","a disintegrin and metallopeptidase domain 1a [Source:MGI Symbol;Acc:MGI:2429504]","Adam1a","5","protein_coding",-0.287989599979797,2.83415201973181,-4.54699039544288,2.22190369165362e-05,0.0032040276119664,2.57114403805602
"ENSMUSG00000032267","ENSMUSG00000032267","ubiquitin specific peptidase 28 [Source:MGI Symbol;Acc:MGI:2442293]","Usp28","9","protein_coding",-0.151495566567792,5.03017941372726,-4.54488689124269,2.23908751585006e-05,0.0032040276119664,2.29412366341752
"ENSMUSG00000002028","ENSMUSG00000002028","lysine (K)-specific methyltransferase 2A [Source:MGI Symbol;Acc:MGI:96995]","Kmt2a","9","protein_coding",-0.139204448778889,7.80325596720423,-4.54023188575898,2.27757538536641e-05,0.00322835567595568,2.25979126037456
"ENSMUSG00000022325","ENSMUSG00000022325","processing of precursor 1, ribonuclease P/MRP family, (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914974]","Pop1","15","protein_coding",-0.162747575286508,3.31111462199282,-4.53339868077019,2.33523976649587e-05,0.00327915677491593,2.48837227292418
"ENSMUSG00000028195","ENSMUSG00000028195","cellular communication network factor 1 [Source:MGI Symbol;Acc:MGI:88613]","Ccn1","3","protein_coding",-0.542844855444285,1.96388311091087,-4.53103758133627,2.36746329653689e-05,0.0032936237065247,2.51191165015649
"ENSMUSG00000024317","ENSMUSG00000024317","ring finger protein 138 [Source:MGI Symbol;Acc:MGI:1929211]","Rnf138","18","protein_coding",-0.128619221952805,3.61742433220737,-4.51455298718413,2.50172531766868e-05,0.00344461366532775,2.37464935303697
"ENSMUSG00000037235","ENSMUSG00000037235","Max dimerization protein 4 [Source:MGI Symbol;Acc:MGI:104991]","Mxd4","5","protein_coding",-0.185917973116356,6.49747942705599,-4.51235834126491,2.52184694300201e-05,0.00344461366532775,2.13213606460334
"ENSMUSG00000005267","ENSMUSG00000005267","zinc finger protein 287 [Source:MGI Symbol;Acc:MGI:2176561]","Zfp287","11","protein_coding",-0.118602365459229,3.96542815795801,-4.47711595817086,2.86733085533658e-05,0.00381253505322407,2.20631679182285
"ENSMUSG00000031508","ENSMUSG00000031508","ankyrin repeat domain 10 [Source:MGI Symbol;Acc:MGI:1921840]","Ankrd10","8","protein_coding",-0.154386445497082,5.79649541956733,-4.46883808959225,2.95491259704293e-05,0.0038550049598817,2.00105806560801
"ENSMUSG00000036197","ENSMUSG00000036197","glucoside xylosyltransferase 1 [Source:MGI Symbol;Acc:MGI:2684933]","Gxylt1","15","protein_coding",-0.12185351063182,4.33266130128739,-4.46720650958694,2.97247885088365e-05,0.0038550049598817,2.11310183613096
"ENSMUSG00000078651","ENSMUSG00000078651","amine oxidase, copper containing 2 (retina-specific) [Source:MGI Symbol;Acc:MGI:2668431]","Aoc2","11","protein_coding",-0.296689839862808,2.51440399131504,-4.46023411655255,3.04869533931692e-05,0.00391509807463562,2.28579695704287
